X,Y,station,latitude,longitude,iphc_area,lbs_t_1998,cnt_t_1998,lbs_o32in_1998,a_lbs_o32_1998,t_avg_lbs_1998,pct_t_o32_1998,pct_bin_1998,lbs_t_1999,cnt_t_1999,lbs_o32in_1999,a_lbs_o32_1999,t_avg_lbs_1999,pct_t_o32_1999,pct_bin_1999,lbs_t_2000,cnt_t_2000,lbs_o32in_2000,a_lbs_o32_2000,t_avg_lbs_2000,pct_t_o32_2000,pct_bin_2000,lbs_t_2001,cnt_t_2001,lbs_o32in_2001,a_lbs_o32_2001,t_avg_lbs_2001,pct_t_o32_2001,pct_bin_2001,lbs_t_2002,cnt_t_2002,lbs_o32in_2002,a_lbs_o32_2002,t_avg_lbs_2002,pct_t_o32_2002,pct_bin_2002,lbs_t_2003,cnt_t_2003,lbs_o32in_2003,a_lbs_o32_2003,t_avg_lbs_2003,pct_t_o32_2003,pct_bin_2003,lbs_t_2004,cnt_t_2004,lbs_o32in_2004,a_lbs_o32_2004,t_avg_lbs_2004,pct_t_o32_2004,pct_bin_2004,lbs_t_2005,cnt_t_2005,lbs_o32in_2005,a_lbs_o32_2005,t_avg_lbs_2005,pct_t_o32_2005,pct_bin_2005,lbs_t_2006,cnt_t_2006,lbs_o32in_2006,a_lbs_o32_2006,t_avg_lbs_2006,pct_t_o32_2006,pct_bin_2006,lbs_t_2007,cnt_t_2007,lbs_o32in_2007,a_lbs_o32_2007,t_avg_lbs_2007,pct_t_o32_2007,pct_bin_2007,lbs_t_2008,cnt_t_2008,lbs_o32in_2008,a_lbs_o32_2008,t_avg_lbs_2008,pct_t_o32_2008,pct_bin_2008,lbs_t_2009,cnt_t_2009,lbs_o32in_2009,a_lbs_o32_2009,t_avg_lbs_2009,pct_t_o32_2009,pct_bin_2009,lbs_t_2010,cnt_t_2010,lbs_o32in_2010,a_lbs_o32_2010,t_avg_lbs_2010,pct_t_o32_2010,pct_bin_2010,lbs_t_2011,cnt_t_2011,lbs_o32in_2011,a_lbs_o32_2011,t_avg_lbs_2011,pct_t_o32_2011,pct_bin_2011,lbs_t_2012,cnt_t_2012,lbs_o32in_2012,a_lbs_o32_2012,t_avg_lbs_2012,pct_t_o32_2012,pct_bin_2012,lbs_t_2013,cnt_t_2013,lbs_o32in_2013,a_lbs_o32_2013,t_avg_lbs_2013,pct_t_o32_2013,pct_bin_2013,lbs_t_2014,cnt_t_2014,lbs_o32in_2014,a_lbs_o32_2014,t_avg_lbs_2014,pct_t_o32_2014,pct_bin_2014,lbs_t_2015,cnt_t_2015,lbs_o32in_2015,a_lbs_o32_2015,t_avg_lbs_2015,pct_t_o32_2015,pct_bin_2015
-166.0871569,53.33410784,6029,53.33410784,-166.0871569,4A,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,73,5,73,15,0,100,5,0,0,0,0,0,0,1,13,1,13,13,0,100,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,19,1,19,19,0,100,5,0,0,0,0,0,0,1
-137.7820648,58.50022222,4022,58.50022222,-137.7820648,3A,16,unknown,16,unknown,unknown,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,1,20,20,0,100,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24,1,24,24,0,100,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,1,0,0,0,0,1,34,4,0,0,0,0,1
-130.3162963,52.16889815,2105,52.16889815,-130.3162963,2B,10,unknown,0,0,0,0,1,47,unknown,47,unknown,unknown,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,48,1,48,48,0,100,5,38,1,38,38,0,100,5,51,1,51,51,0,100,5,16,1,16,16,0,100,5,80,4,57,57,65,25,2,57,1,57,57,0,100,5,0,0,0,0,0,0,1,90,2,90,45,0,100,5,169,3,169,56,0,100,5,159,5,151,38,46,80,5,149,3,149,50,0,100,5,232,5,232,46,0,100,5,48,3,39,20,29,67,4,67,3,67,22,0,100,5
170.9655833,53.00111667,6154,53.00111667,170.9655833,4B,,,,,,,,202,unknown,202,unknown,unknown,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
170.6502667,53.3341,6157,53.3341,170.6502667,4B,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-175.9319167,58.50625,7066,58.50625,-175.9319167,4D,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-139.0347353,59.1669902,4048,59.1669902,-139.0347353,3A,0,0,0,0,0,0,1,13,unknown,13,unknown,unknown,unknown,1,6,unknown,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,126,10,96,16,24,60,4,0,0,0,0,0,0,1,55,5,31,16,24,40,3,43,5,11,11,19,20,2,0,0,0,0,0,0,1,427,50,166,15,22,22,2,7,1,0,0,0,0,1,356,45,130,16,22,18,2,0,0,0,0,0,0,1,341,46,137,20,25,15,2,60,7,18,18,25,14,2,599,85,116,13,19,11,2
-178.3184375,59.833125,7098,59.833125,-178.3184375,4D,,,,,,,,,,,,,,,33,unknown,33,unknown,unknown,unknown,1,0,0,0,0,0,0,1,57,3,52,26,31,67,4,535,28,461,23,32,71,4,265,7,254,51,56,71,4,127,5,110,55,61,40,3,50,3,43,22,29,67,4,239,9,211,42,49,56,4,106,8,80,20,27,50,3,604,24,555,31,39,75,4,246,13,197,33,40,46,3,224,18,172,14,23,67,4,0,0,0,0,0,0,1,219,17,187,16,22,71,4,90,12,24,24,30,8,2,149,7,108,54,62,29,3
-137.487537,58.33365741,4014,58.33365741,-137.487537,3A,51,unknown,51,unknown,unknown,unknown,1,134,unknown,134,unknown,unknown,unknown,1,35,unknown,35,unknown,unknown,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,1,12,12,0,100,5,26,1,26,26,0,100,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26,3,12,12,19,33,3,0,0,0,0,0,0,1,76,8,39,13,20,38,3,21,1,21,21,0,100,5,122,13,75,19,24,31,3,9,1,0,0,0,0,1,63,4,54,27,32,50,3,208,16,139,23,30,38,3,176,14,99,20,28,36,3
-138.0877059,58.83346078,4036,58.83346078,-138.0877059,3A,98,unknown,66,unknown,unknown,unknown,1,289,unknown,146,unknown,unknown,unknown,1,166,unknown,64,unknown,unknown,unknown,1,0,0,0,0,0,0,1,,,,,,,,8,1,0,0,0,0,1,125,14,83,14,19,43,3,314,37,139,20,26,19,2,0,0,0,0,0,0,1,178,14,132,26,32,36,3,81,2,74,74,81,50,3,215,21,130,19,25,33,3,912,30,872,36,43,80,5,408,57,111,14,20,14,2,369,38,147,25,31,16,2,31,5,0,0,0,0,1,206,15,142,24,31,40,3,49,1,49,49,0,100,5
